0.2,10,1,2519,35.058,47,46.3564,0.068772
0.2,10,2,2516,35.886,138,135.751,0.1935
0.2,10,3,2514,34.478,48,47.1811,0.073866
0.2,50,1,2511,22.96,936,932.691,0.130746
0.2,50,2,2512,23.154,841,837.257,0.129461
0.2,50,3,2512,23.448,869,865.893,0.123819
1,10,1,1102,270.132,603,601.581,0.130268
1,10,2,1107,272.062,358,357.167,0.102729
1,10,3,1100,278.47,330,328.524,0.098427
1,50,1,528,30.044,1082,1075.22,0.4196
1,50,2,526,29.95,812,806.528,0.298682
1,50,3,528,30.84,944,936.972,0.435816
2,10,1,1081,372.05,112,112.038,0.044012
2,10,2,1073,368.9,260,259.85,0.065002
2,10,3,1077,370.738,113,112.726,0.041853
2,50,1,298,34.222,581,577.108,0.313695
2,50,2,303,35.564,375,372.666,0.154354
2,50,3,293,34.198,552,548.501,0.292784
10,10,1,1064,459.608,23,23.4329,0.035348
10,10,2,1055,456.496,23,23.1609,0.036243
10,10,3,1064,459.728,24,24.0262,0.037241
10,50,1,241,85.43,89,88.6312,0.048416
10,50,2,245,86.314,84,84.077,0.050822
10,50,3,245,86.294,123,122.687,0.098504
